Date,Open,High,Low,Close,Adj Close,Volume
2021-11-29,54.740002,55.619999,52.410000,52.810001,51.832306,5324675
2021-11-30,52.439999,56.720001,52.439999,56.220001,55.179176,20778186
2021-12-01,56.590000,57.830002,55.049999,56.139999,55.100655,7111939
2021-12-02,56.130001,56.700001,55.110001,56.310001,55.267513,3608216
2021-12-03,55.259998,57.889999,55.259998,56.830002,55.777885,2410993
2021-12-06,56.650002,57.799999,55.610001,56.209999,55.169361,3449980
2021-12-07,56.730000,57.750000,55.130001,57.590000,56.523815,3117050
2021-12-08,57.549999,57.549999,53.880001,54.790001,53.775650,8578725
2021-12-09,54.919998,56.889999,54.900002,56.279999,55.238064,4221893
2021-12-10,58.470001,59.200001,56.660000,58.400002,57.318821,3928582
2021-12-13,58.439999,58.439999,56.049999,56.830002,55.777885,2634756
2021-12-14,56.680000,58.980000,55.680000,58.779999,57.691784,4136121
2021-12-15,58.549999,59.820000,58.009998,59.480000,58.378822,2520095
2021-12-16,59.630001,59.799999,58.099998,58.250000,57.171593,2800194
2021-12-17,58.029999,61.990002,57.759998,61.470001,60.331982,8263844
2021-12-20,60.740002,63.900002,59.900002,62.880001,61.715878,2344523
2021-12-21,63.299999,63.869999,61.029999,61.150002,60.017906,1952430
2021-12-22,61.459999,62.869999,60.689999,62.660000,61.499950,1775347
2021-12-23,62.570000,62.580002,61.720001,62.130001,60.979763,1246572
2021-12-24,62.119999,62.880001,62.049999,62.810001,61.647175,32776
2021-12-27,62.770000,63.189999,62.279999,62.840000,61.676617,411116
2021-12-28,62.520000,63.400002,62.029999,62.270000,61.117172,1106618
2021-12-29,62.270000,63.860001,61.910000,62.130001,60.979763,866813
2021-12-30,62.279999,63.500000,62.270000,62.939999,61.774765,1048744
2021-12-31,62.830002,63.240002,62.450001,62.970001,61.804214,476638
2022-01-03,63.080002,63.790001,62.320000,62.470001,61.313469,543738
2022-01-04,62.930000,63.200001,61.500000,62.910000,61.745323,1220353
2022-01-05,62.090000,62.380001,57.790001,60.990002,59.860870,1492518
2022-01-06,60.900002,63.990002,60.540001,63.689999,62.510880,2454987
2022-01-07,63.000000,64.650002,62.700001,64.480003,63.286259,1833800
2022-01-10,64.510002,64.709999,62.709999,63.330002,62.157547,1458519
2022-01-11,63.990002,65.110001,62.700001,65.010002,63.806446,2170639
2022-01-12,64.989998,67.440002,64.989998,67.040001,65.798866,3009592
2022-01-13,66.699997,67.300003,65.540001,65.940002,64.719231,2430034
2022-01-14,66.000000,66.790001,65.769997,66.430000,65.200150,1865511
2022-01-17,66.279999,67.440002,64.800003,66.540001,65.308121,638355
2022-01-18,66.489998,66.489998,63.000000,63.290001,62.118290,1575295
2022-01-19,63.380001,64.180000,62.020000,63.570000,62.393101,1000209
2022-01-20,63.490002,64.989998,63.150002,63.939999,62.756252,1443481
2022-01-21,64.000000,64.809998,62.549999,63.230000,62.059395,974253
2022-01-24,62.700001,63.209999,59.459999,62.889999,61.725693,1538087
2022-01-25,62.389999,63.900002,61.000000,63.009998,61.843468,2864056
2022-01-26,63.549999,63.849998,62.189999,62.389999,61.234947,2311928
2022-01-27,62.540001,63.000000,60.020000,60.540001,59.419201,1733085
2022-01-28,60.799999,62.910000,59.849998,61.529999,60.390869,1819021
2022-01-31,61.790001,65.559998,61.790001,64.589996,63.394215,2847038
2022-02-01,64.349998,65.750000,63.500000,65.099998,63.894779,1511643
2022-02-02,65.099998,65.150002,63.000000,63.209999,62.039768,1268440
2022-02-03,63.270000,63.270000,60.349998,60.910000,59.782349,2217032
2022-02-04,60.580002,62.950001,60.299999,62.009998,60.861980,1025946
2022-02-08,62.119999,63.500000,61.490002,63.400002,62.226254,1140423
2022-02-09,63.490002,64.269997,63.330002,64.040001,62.854401,1323016
2022-02-10,63.650002,64.290001,62.250000,63.439999,62.265507,1954074
2022-02-11,63.360001,65.809998,63.230000,64.629997,63.433475,2007856
2022-02-14,64.629997,64.629997,61.349998,62.900002,61.735508,2359752
2022-02-15,62.990002,63.799999,62.480000,63.070000,61.902359,1273130
2022-02-16,62.950001,64.480003,62.599998,63.220001,62.049583,1489188
2022-02-17,63.240002,64.400002,62.900002,63.750000,62.569771,2834141
2022-02-18,63.779999,65.120003,63.250000,64.809998,63.610142,1420777
2022-02-21,64.699997,65.160004,61.810001,64.690002,63.492371,308954
2022-02-22,63.810001,66.050003,63.700001,65.489998,64.277557,2823805
2022-02-23,66.099998,66.699997,61.720001,62.660000,61.499950,2480900
2022-02-24,62.000000,62.779999,59.259998,62.360001,61.205505,3782037
2022-02-25,62.500000,64.820000,61.700001,64.349998,63.158661,1641310
2022-02-28,63.580002,65.050003,62.570000,63.070000,61.902359,4687520
2022-03-01,63.189999,64.139999,60.299999,62.330002,61.176060,4579432
2022-03-02,62.529999,63.709999,61.700001,61.900002,60.754021,3233303
2022-03-03,61.959999,62.610001,58.810001,59.209999,58.113823,4968108
2022-03-04,59.189999,59.400002,57.200001,57.439999,56.376587,4361629
2022-03-07,57.220001,57.320000,52.959999,53.200001,52.215088,5164699
2022-03-08,53.389999,54.590000,51.779999,54.209999,53.206390,5506010
2022-03-09,54.770000,57.000000,54.209999,56.459999,55.414730,3189589
2022-03-10,56.490002,58.209999,55.009998,57.099998,56.042885,4023856
2022-03-11,57.360001,58.000000,55.400002,56.650002,55.601215,3026163
2022-03-14,56.750000,56.750000,54.520000,55.200001,54.178062,4290774
2022-03-15,55.200001,57.900002,53.810001,56.270000,55.228249,4891881
2022-03-16,56.689999,60.400002,56.689999,58.889999,57.799747,3483069
2022-03-17,58.700001,59.700001,57.660000,58.720001,57.632896,2674079
2022-03-18,58.400002,59.500000,57.410000,57.980000,56.906593,13969494
2022-03-22,58.160000,59.580002,55.759998,59.290001,58.192341,2725879
2022-03-23,58.880001,59.150002,57.000000,57.490002,56.425663,2162020
2022-03-24,58.139999,58.299999,56.750000,57.730000,56.661221,1924670
2022-03-25,57.810001,58.750000,56.820000,58.279999,57.201038,2882804
2022-03-28,58.279999,59.490002,57.779999,59.220001,58.123634,1278691
2022-03-29,59.099998,61.500000,58.570000,60.599998,59.478085,3987521
2022-03-30,60.490002,60.529999,58.509998,60.119999,59.006973,4220566
2022-03-31,60.040001,60.970001,59.410000,60.060001,58.948086,2598377
2022-04-01,59.799999,63.400002,59.799999,62.980000,61.814026,3414860
2022-04-04,63.000000,66.000000,62.549999,64.320000,63.129219,2519875
